Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,539,166,309,667,818,944,981
Expenses+,369,171,242,395,507,608,609
Operating Profit,170,-4,66,272,311,337,372
OPM %,32%,-3%,22%,41%,38%,36%,38%
Other Income+,12,26,35,50,9,31,8
Interest,207,186,216,266,265,109,107
Depreciation,110,105,100,82,91,109,114
Profit before tax,-135,-269,-214,-26,-37,150,159
Tax %,-42%,-26%,-12%,-94%,-165%,52%,
Net Profit+,-79,-199,-188,-2,24,71,113
EPS in Rs,,,,,1.07,3.20,5.09
Dividend Payout %,0%,0%,0%,0%,0%,0%,
