Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,078","1,207","1,668","1,953","2,296","2,382","2,324","2,583","2,652"
Expenses+,923,"1,029","1,398","1,570","1,823","2,166","2,131","2,347","2,426"
Operating Profit,154,178,269,382,473,215,193,236,226
OPM %,14%,15%,16%,20%,21%,9%,8%,9%,9%
Other Income+,2,9,6,10,17,18,21,30,29
Interest,25,24,21,13,16,24,20,21,23
Depreciation,10,11,15,18,18,20,22,24,26
Profit before tax,121,152,239,362,456,189,172,221,206
Tax %,36%,35%,26%,26%,26%,27%,27%,25%,
Net Profit+,78,99,177,269,338,137,126,165,154
EPS in Rs,30.84,39.12,70.35,107.47,112.95,47.23,43.07,54.97,51.51
Dividend Payout %,7%,9%,19%,0%,11%,11%,5%,4%,
